seg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293
acc,0,255.832,1650.208,2826.608,3670.512,4028.944,4596.304,5198.032,5789.352,6630.952,7239.864,7662.04,8839.168,11221.112,13577.312,15988.96,18485.208,21001.32,24884.128,30072.88,34779.432,38563.584,41525.744,43707.712,45562.592,46856.92,48045.736,48918.104,49866.592,51144.776,52512.904,53988.2,55064.24,56462.992,59165.672,61746.864,63543.144,65677.816,67997.344,70156.296,72590.984,74644.136,75507.728,76352.992,77480.592,79486.904,81356.944,84387.768,88097.544,91718.376,93686.952,95399.672,97969.464,101458.56,105552.272,107858.528,113291.304,122185.16,129039.064,137310.296,144205.848,147112.224,148215.224,148842.936,149553.064,151484.592,153952.368,155403.856,156793.056,158615.216,161515.008,164425.368,166744.888,168639.888,170185.72,171708.176,172908.208,173928.608,174870.888,175852.688,176500.704,177112.168,178080.904,178905.584,179817.152,181365.032,183261.688,184814.176,186808.16,189614.944,192215.856,193315.552,194237.504,195158.976,196672.88,197893.52,199087.232,199298.376,200278.832,201024.208,201751.408,203467.432,205453.768,207195.232,208718.616,209889.24,210946.808,211935.248,212841.768,213742.368,215027,216977.552,219078.864,220549.672,221920.64,222732.2,223293.792,223750.888,224258.856,224932.728,225446.248,225715.184,225955.2,226849.264,227925.968,229238.176,230509.488,231829.472,232342.624,232915.056,233594.088,234531.176,235532.024,236221.84,236715.232,237998.288,239096.136,240170.248,241046.12,241625.072,242314.832,243024.952,243568.008,244736.592,245322.248,245894.944,246384.624,246834.624,247426.272,248064.256,248727.712,249065.472,249439.736,249920.32,250402.992,250890.64,251293.944,251751.528,252105.376,252515.888,252899.968,253476.248,253923.296,254315.096,254897.224,255367.888,256522.848,257915.592,259049.072,260195.984,260694.664,261765.512,262496.128,262978.32,263443.528,264098.216,264935.752,265466.92,265772.032,266283.712,266668.976,266874.848,267115.192,267514.104,267885.08,268206.816,269045.792,270048.768,270528.28,270929.072,271368.176,271968.728,272422.84,272802.552,273362.36,273732.48,274207.576,274667.952,275111.896,275641.408,276314.536,277194.176,278105.136,279777.088,280888.496,282115.088,283548.024,284033.416,284505.744,285357.552,286209.536,286798.392,287395.376,288476.736,289709.896,291379.368,293546.648,294852.688,296279.656,297537,298434.672,299017.712,300074.008,301495.152,302132.704,302510.264,302934.808,303479.808,303676.792,303873.944,304062.824,304461.344,305291.352,305911.608,306311.488,306841.88,307265.232,307638,307918.768,308259.112,308629.392,308952.536,309284.704,309837.336,310625.264,311374.456,312062.808,312920.168,313432.144,314245.584,315137.712,315989.016,316982.32,317631.488,318060.2,318487.096,319028.568,320121.088,321211.32,322452.536,323574.872,324601.4,325110.944,325690.568,326310.6,326866.128,327664.984,328579.608,329242.096,329993.288,331200.776,332522.968,333416.08,334383.112,336048.88,336810.248,338058.168,340087.6,340884.896,341545.816,342482.224,343660.688,344472.512,345032.432,345355.56,345640.008,345977.016,346219.696,346621.736,347022.224,347433.736,347742.728,348100.648,348522.48
env,0,8893.856,15747.76,24018.992,30914.544,36347.32,39253.696,42747.288,46236.384,49142.76,51712.552,53425.272,56108.304,59818.08,62848.904,65755.28,67625.32,69631.632,70759.232,71862.232,72707.496,74521.24,76955.928,79114.88,81434.408,83569.08,85387.944,87946.552,90649.232,92047.984,93150.984,94599.32,95967.448,97489.376,98940.864,101067.072,103201.744,105259.696,107962.376,110281.896,112176.896,114132.968,119321.72,123204.528,126110.904,128627.016,131123.264,133534.912,135891.112,138273.056,139450.184,140553.184,141180.896,142731.256,145113.2,146564.688,148436.408,150848.056,153204.256,155586.2,157905.72,159800.72,161346.552,162869.008,164069.04,165246.168,166266.568,167208.848,168190.648,168838.664,169450.128,170418.864,171243.544,172525.864,174422.52,176226.896,178638.544,180994.744,183376.688,184553.816,185653.512,186575.464,187833.712,189054.352,190248.064,191425.192,191847.368,192616.792,193362.168,194628.264,196614.6,198356.064,199879.448,201056.576,202227.2,203284.768,204273.208,205179.728,206187.832,208138.384,210239.696,211710.504,213081.472,214258.6,215070.16,215631.752,216131.288,216942.848,217534.168,218135.896,218703.256,219264.848,220293.84,221664.808,222476.368,223037.96,224167.432,224680.584,225253.016,226040.12,226869.136,227869.984,228559.8,229159.12,230336.248,231434.096,232508.208,233384.08,233963.032,234652.792,235362.912,235905.968,237074.552,237660.208,238232.904,238947.24,239914.416,240790.288,241369.24,242059,242769.12,243312.176,244480.76,245066.416,245639.112,246128.792,246578.792,247170.44,247808.424,248471.88,248809.64,249183.904,249664.488,250147.16,250634.808,251038.112,251495.696,251849.544,252533.944,253032.624,254103.472,254834.088,255316.28,255976.16,256706.776,257298.096,257899.824,258793.24,259940.152,260438.832,261509.68,262240.296,262722.488,263187.696,263842.384,264679.92,265211.088,265516.2,266027.88,266413.144,266619.016,266859.36,267258.272,267629.248,267950.984,268789.96,269792.936,270272.448,270673.24,271112.344,271712.896,272167.008,272546.72,273275.92,274708.856,275885.984,276371.376,276917.072,277758.672,278547.496,279136.352,279733.336,280870.728,282540.2,284707.48,286013.52,287440.488,288697.832,289874.96,290772.632,291355.672,292655.984,293833.112,294470.664,294892.84,295705.8,296343.352,296934.672,297536.4,298178.84,298761.88,299844.944,301239.32,301876.872,302254.432,302678.976,303223.976,303420.96,303618.112,303806.992,304205.512,305035.52,305655.776,306055.656,306586.048,307009.4,307382.168,307662.936,308003.28,308373.56,308696.704,309320.28,309969.448,310398.16,311192.968,311842.136,312664.336,313613.368,314790.496,315912.832,316939.36,317448.904,318028.528,318812.048,319403.368,320005.096,320917.568,321580.056,322361.608,323683.8,324860.928,325754.04,327209.712,328386.84,329219,331248.432,332425.56,333222.856,333883.776,334821.52,335998.648,336810.472,337370.392,337871.336,338683.16,339274.48,339876.208,340629.064,341289.984,342226.392,343404.856,344216.68,344776.6,345099.728,345384.176,345721.184,345963.864,346365.904,346766.392,347177.904,347486.896,347844.816,348266.648,348775.872
