VIDEO, Rate, Utility, d0, QP,,,,,,
,3462.433508,5.034948,0.346323,22,,,,,,
,3661.278338,5.038127,0.217241,22,,,,,,
,3860.123169,5.04099,0.103025,22,,,,,,
,,,,,,,,,,
lam,117.616,3.25107,0,35,,,,,,
lam,334.0816,4.32098,0,27,,,,,,
lam,550.5472,4.658896,0,25,,,,,,
lam,767.0128,4.830194,0,24,,,,,,
lam,983.4784,4.898526,0,23,,,,,,
lam,1199.944,4.949073,0,23,,,,,,
lam,1416.4096,4.981835,0,22,,,,,,
lam,1632.8752,4.995875,0,22,,,,,,
lam,1849.3408,5,0,22,,,,,,
lam,2065.8064,5,0,22,,,,,,
lam,2282.272,5,0,22,,,,,,
lam,2498.7376,5,0,22,,,,,,
lam,2715.2032,5,0,22,,,,,,
lam,2931.6688,5,0,22,,,,,,
lam,3148.1344,5,0,22,,,,,,
lam,3364.6,5,0,22,,,,,,
lam,3581.0656,5,0,22,,,,,,
lam,3797.5312,5,0,22,,,,,,
lam,4013.9968,5,0,22,,,,,,
lam,4230.4624,5,0,22,,,,,,
sony,494.510222,2.007054,0,44,,,,,,
sony,1136.302111,3.209884,0,35,,,,,,
sony,1778.094,3.608643,0,32,,,,,,
sony,2419.885889,3.958727,0,30,,,,,,
sony,3061.677778,4.094455,0,29,,,,,,
sony,3703.469667,4.229247,0,28,,,,,,
sony,4345.261556,4.397737,0,27,,,,,,
sony,4987.053444,4.580267,0,25,,,,,,
sony,5628.845333,4.69821,0,25,,,,,,
sony,6270.637222,4.737524,0,24,,,,,,
sony,6912.429111,4.765606,0,24,,,,,,
sony,7554.221,4.816153,0,24,,,,,,
sony,8196.012889,4.849851,0,23,,,,,,
sony,8837.804778,4.869508,0,23,,,,,,
sony,9479.596667,4.903206,0,23,,,,,,
sony,10121.388556,4.934096,0,23,,,,,,
sony,10763.180444,4.962177,0,23,,,,,,
sony,11404.972333,4.998684,0,22,,,,,,
sony,12046.764222,5,0,22,,,,,,
sony,12688.556111,5,0,22,,,,,,
star,67.6256,2.938428,0,37,,,,,,
star,166.77432,3.873546,0,31,,,,,,
star,265.92304,4.260137,0,28,,,,,,
star,365.07176,4.52504,0,26,,,,,,
star,464.22048,4.690722,0,25,,,,,,
star,563.3692,4.780583,0,24,,,,,,
star,662.51792,4.847043,0,23,,,,,,
star,761.66664,4.908822,0,23,,,,,,
star,860.81536,4.936904,0,23,,,,,,
star,959.96408,4.964986,0,23,,,,,,
star,1059.1128,4.987451,0,22,,,,,,
star,1158.26152,5,0,22,,,,,,
star,1257.41024,5,0,22,,,,,,
star,1356.55896,5,0,22,,,,,,
star,1455.70768,5,0,22,,,,,,
star,1554.8564,5,0,22,,,,,,
star,1654.00512,5,0,22,,,,,,
star,1753.15384,5,0,22,,,,,,
star,1852.30256,5,0,22,,,,,,
star,1951.45128,5,0,22,,,,,,
terminate,639.952941,2.533116,0,40,,,,,,
terminate,1439.776894,3.498188,0,33,,,,,,
terminate,2239.600847,3.9035,0,30,,,,,,
terminate,3039.4248,4.230183,0,28,,,,,,
terminate,3839.248753,4.448284,0,26,,,,,,
terminate,4639.072706,4.647663,0,25,,,,,,
terminate,5438.896659,4.715059,0,24,,,,,,
terminate,6238.720612,4.799304,0,24,,,,,,
terminate,7038.544565,4.863892,0,23,,,,,,
terminate,7838.368518,4.906014,0,23,,,,,,
terminate,8638.192471,4.956561,0,23,,,,,,
terminate,9438.016424,4.995875,0,22,,,,,,
terminate,10237.840376,5,0,22,,,,,,
terminate,11037.664329,5,0,22,,,,,,
terminate,11837.488282,5,0,22,,,,,,
terminate,12637.312235,5,0,22,,,,,,
terminate,13437.136188,5,0,22,,,,,,
terminate,14236.960141,5,0,22,,,,,,
terminate,15036.784094,5,0,22,,,,,,
terminate,15836.608047,5,0,22,,,,,,
tokyo,82.071385,2.741856,0,39,,,,,,
tokyo,280.916215,3.820191,0,31,,,,,,
tokyo,479.761046,4.195549,0,28,,,,,,
tokyo,678.605877,4.466069,0,26,,,,,,
tokyo,877.450708,4.595244,0,25,,,,,,
tokyo,1076.295538,4.720675,0,24,,,,,,
tokyo,1275.140369,4.813345,0,24,,,,,,
tokyo,1473.9852,4.91163,0,23,,,,,,
tokyo,1672.830031,4.945328,0,23,,,,,,
tokyo,1871.674862,4.962177,0,23,,,,,,
tokyo,2070.519692,4.987451,0,22,,,,,,
tokyo,2269.364523,4.993067,0,22,,,,,,
tokyo,2468.209354,5,0,22,,,,,,
tokyo,2667.054185,5,0,22,,,,,,
tokyo,2865.899015,5,0,22,,,,,,
tokyo,3064.743846,5,0,22,,,,,,
tokyo,3263.588677,5,0,22,,,,,,
tokyo,3462.433508,5,0,22,,,,,,
tokyo,3661.278338,5,0,22,,,,,,
tokyo,3860.123169,5,0,22,,,,,,
