BandWidth, Algorithm, Video name, Rate, Utility,,,,,
,,U_avg,4.766285,,,,,,
,,SUM_BW,10988.330118,,,,,,
,,TIME,0.025971,,,,,,
,,,,,,,,,
12000, Fast heap,lam,1199.944,4.975518,,,,,
,,sony,4345.261556,4.558626,,,,,
,,star,1059.1128,5.007415,,,,,
,,terminate,3839.248753,4.553047,,,,,
,,tokyo,1473.9852,4.95149,,,,,
,,U_avg,4.809219,,,,,,
,,SUM_BW,11917.552308,,,,,,
,,TIME,0.000015,,,,,,
,,,,,,,,,
, Full search,lam,767.0128,4.874718,,,,,
,,sony,4987.053444,4.703618,,,,,
,,star,860.81536,4.977943,,,,,
,,terminate,3839.248753,4.553047,,,,,
,,tokyo,1473.9852,4.95149,,,,,
,,U_avg,4.812163,,,,,,
,,SUM_BW,11928.115557,,,,,,
,,TIME,0.025251,,,,,,
,,,,,,,,,
13000, Fast heap,lam,1199.944,4.975518,,,,,
,,sony,4345.261556,4.558626,,,,,
,,star,1059.1128,5.007415,,,,,
,,terminate,4639.072706,4.721993,,,,,
,,tokyo,1473.9852,4.95149,,,,,
,,U_avg,4.843009,,,,,,
,,SUM_BW,12717.376261,,,,,,
,,TIME,0.000017,,,,,,
,,,,,,,,,
, Full search,lam,983.4784,4.92927,,,,,
,,sony,4987.053444,4.703618,,,,,
,,star,860.81536,4.977943,,,,,
,,terminate,4639.072706,4.721993,,,,,
,,tokyo,1473.9852,4.95149,,,,,
,,U_avg,4.856863,,,,,,
,,SUM_BW,12944.40511,,,,,,
,,TIME,0.026632,,,,,,
,,,,,,,,,
14000, Fast heap,lam,1199.944,4.975518,,,,,
,,sony,4987.053444,4.703618,,,,,
,,star,1059.1128,5.007415,,,,,
,,terminate,4639.072706,4.721993,,,,,
,,tokyo,1473.9852,4.95149,,,,,
,,U_avg,4.872007,,,,,,
,,SUM_BW,13359.16815,,,,,,
,,TIME,0.00001,,,,,,
,,,,,,,,,
, Full search,lam,1416.4096,4.993391,,,,,
,,sony,4987.053444,4.703618,,,,,
,,star,1257.41024,5.026356,,,,,
,,terminate,4639.072706,4.721993,,,,,
