,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294
acc_data,0,4446.928,7873.88,12009.496,15457.272,18173.66,19626.848,21373.644,23118.192,24571.38,25856.276,26712.636,28054.152,29909.04,31424.452,32877.64,33812.66,34815.816,35379.616,35931.116,36353.748,37260.62,38477.964,39557.44,40717.204,41784.54,42693.972,43973.276,45324.616,46023.992,46575.492,47299.66,47983.724,48744.688,49470.432,50533.536,51600.872,52629.848,53981.188,55140.948,56088.448,57066.484,59660.86,61602.264,63055.452,64313.508,65561.632,66767.456,67945.556,69136.528,69725.092,70276.592,70590.448,71365.628,72556.6,73282.344,74218.204,75424.028,76602.128,77793.1,78952.86,79900.36,80673.276,81434.504,82034.52,82623.084,83133.284,83604.424,84095.324,84419.332,84725.064,85209.432,85621.772,86262.932,87211.26,88113.448,89319.272,90497.372,91688.344,92276.908,92826.756,93287.732,93916.856,94527.176,95124.032,95712.596,95923.684,96308.396,96681.084,97314.132,98307.3,99178.032,99939.724,100528.288,101113.6,101642.384,102136.604,102589.864,103093.916,104069.192,105119.848,105855.252,106540.736,107129.3,107535.08,107815.876,108065.644,108471.424,108767.084,109067.948,109351.628,109632.424,110146.92,110832.404,111238.184,111518.98,112083.716,112340.292,112626.508,113020.06,113434.568,113934.992,114279.9,114579.56,115168.124,115717.048,116254.104,116692.04,116981.516,117326.396,117681.456,117952.984,118537.276,118830.104,119116.452,119473.62,119957.208,120395.144,120684.62,121029.5,121384.56,121656.088,122240.38,122533.208,122819.556,123064.396,123289.396,123585.22,123904.212,124235.94,124404.82,124591.952,124832.244,125073.58,125317.404,125519.056,125747.848,125924.772,126266.972,126516.312,127051.736,127417.044,127658.14,127988.08,128353.388,128649.048,128949.912,129396.62,129970.076,130219.416,130754.84,131120.148,131361.244,131593.848,131921.192,132339.96,132605.544,132758.1,133013.94,133206.572,133334.488,133437.424,133629.136,133814.624,133975.492,134394.98,134896.468,135136.224,135336.62,135556.172,135856.448,136083.504,136273.36,136637.96,137354.428,137942.992,138185.688,138458.536,138879.336,139273.748,139568.176,139866.668,140435.364,141270.1,142353.74,143006.76,143720.244,144348.916,144937.48,145386.316,145677.836,146327.992,146916.556,147235.332,147446.42,147852.9,148171.676,148467.336,148768.2,149089.42,149380.94,149922.472,150619.66,150938.436,151127.216,151339.488,151611.988,151739.904,151838.396,151936.972,152102.756,152517.76,152827.888,153027.828,153293.024,153504.7,153691.084,153831.468,154001.64,154186.78,154348.352,154660.14,154984.724,155199.08,155596.484,155921.068,156332.168,156806.684,157395.248,157956.416,158469.68,158724.452,159014.264,159406.024,159701.684,160002.548,160458.784,160790.028,161180.804,161841.9,162430.464,162877.02,163604.856,164193.42,164609.5,165624.216,166212.78,166611.428,166941.888,167410.76,167999.324,168405.236,168685.196,168935.668,169341.58,169637.24,169938.104,170314.532,170644.992,171113.196,171702.428,172108.34,172388.3,172549.864,172692.088,172860.592,172988.508,173182.952,173383.196,173588.952,173743.448,173922.408,174133.324,174387.936,174515.852
env_data,0,127.916,825.104,1413.304,1835.256,2014.472,2298.152,2599.016,2894.676,3315.476,3619.932,3831.02,4419.584,5610.556,6788.656,7994.48,9242.604,10500.66,12442.064,15036.44,17389.716,19281.792,20762.872,21853.856,22781.296,23428.46,24022.868,24459.052,24933.296,25572.388,26256.452,26994.1,27532.12,28231.496,29582.836,30873.432,31771.572,32838.908,33998.672,35078.148,36295.492,37322.068,37753.864,38176.496,38740.296,39743.452,40678.472,42193.884,44048.772,45859.188,46843.476,47699.836,48984.732,50729.28,52776.136,53929.264,56645.652,61092.58,64519.532,68655.148,72102.924,73556.112,74107.612,74421.468,74776.532,75742.296,76976.184,77701.928,78396.528,79307.608,80757.504,82212.684,83372.444,84319.944,85092.86,85854.088,86454.104,86964.304,87435.444,87926.344,88250.352,88556.084,89040.452,89452.792,89908.576,90682.516,91630.844,92407.088,93404.08,94807.472,96107.928,96657.776,97118.752,97579.488,98336.44,98946.76,99543.616,99649.188,100139.416,100512.104,100875.704,101733.716,102726.884,103597.616,104359.308,104944.62,105473.404,105967.624,106420.884,106871.184,107513.5,108488.776,109539.432,110274.836,110960.32,111366.1,111646.896,111875.444,112129.428,112466.364,112723.124,112857.592,112977.6,113424.632,113962.984,114619.088,115254.744,115914.736,116171.312,116457.528,116797.044,117265.588,117766.012,118110.92,118357.616,118999.144,119548.068,120085.124,120523.06,120812.536,121157.416,121512.476,121784.004,122368.296,122661.124,122947.472,123192.312,123417.312,123713.136,124032.128,124363.856,124532.736,124719.868,124960.16,125201.496,125445.32,125646.972,125875.764,126052.688,126257.944,126449.984,126738.124,126961.648,127157.548,127448.612,127683.944,128261.424,128957.796,129524.536,130097.992,130347.332,130882.756,131248.064,131489.16,131721.764,132049.108,132467.876,132733.46,132886.016,133141.856,133334.488,133437.424,133557.596,133757.052,133942.54,134103.408,134522.896,135024.384,135264.14,135464.536,135684.088,135984.364,136211.42,136401.276,136681.18,136866.24,137103.788,137333.976,137555.948,137820.704,138157.268,138597.088,139052.568,139888.544,140444.248,141057.544,141774.012,142016.708,142252.872,142678.776,143104.768,143399.196,143697.688,144238.368,144854.948,145689.684,146773.324,147426.344,148139.828,148768.5,149217.336,149508.856,150037.004,150747.576,151066.352,151255.132,151467.404,151739.904,151838.396,151936.972,152031.412,152230.672,152645.676,152955.804,153155.744,153420.94,153632.616,153819,153959.384,154129.556,154314.696,154476.268,154642.352,154918.668,155312.632,155687.228,156031.404,156460.084,156716.072,157122.792,157568.856,157994.508,158491.16,158815.744,159030.1,159243.548,159514.284,160060.544,160605.66,161226.268,161787.436,162300.7,162555.472,162845.284,163155.3,163433.064,163832.492,164289.804,164621.048,164996.644,165600.388,166261.484,166708.04,167191.556,168024.44,168405.124,169029.084,170043.8,170442.448,170772.908,171241.112,171830.344,172236.256,172516.216,172677.78,172820.004,172988.508,173109.848,173310.868,173511.112,173716.868,173871.364,174050.324,174261.24,174515.852
